서빙고신동아아파트,126.985475,37.517854
신용산초교,126.976386,37.519144
용산가족공원,126.985625,37.519935
이촌로강변북로진입,126.963989,37.521911
농업기술진흥관,126.970613,37.520978
서빙고동주민센터,126.994038,37.520075
이촌역앞,126.972071,37.523090
보광동사거리,127.002243,37.524799
이촌동두산위브,126.966489,37.521611
한강중교앞,126.991849,37.525841
용산역앞,126.965179,37.526324
보광동주민센터,127.000946,37.526190
원효로현대자동차서비스,126.955665,37.531936
크라운호텔,126.991382,37.529445
한남역,127.006738,37.528538
전자상가입구,126.968247,37.529571
보광청화아파트,126.995071,37.531522
용산전자상가,126.962963,37.533295
한남오거리,127.007687,37.533366
녹사평역,126.987930,37.534134
원효동산호아파트,126.950202,37.533343
원효대교진출입고가차도,126.956874,37.533202
삼각지역,126.974047,37.535628
이태원역,126.993925,37.534499
제일기획,126.998722,37.535240
신창제일교회,126.955212,37.535894
재정관리단앞,126.986814,37.538346
용문시장,126.960326,37.537529
옥정중학교,127.011110,37.541142
청년창업플러스센터,126.966320,37.538006
북한남삼거리,127.002305,37.542025
효창공원앞역,126.961391,37.539309
남영삼거리,126.972773,37.542086
도원삼성래미안아파트,126.958297,37.539435
남영역,126.970820,37.541683
도화현대아파트,126.956165,37.540180
용마루고개,126.957678,37.540843
서울용암초등학교,126.988058,37.541988
용암초등학교,126.991068,37.544342
하얏트호텔,126.996859,37.541193
효창공원,126.963612,37.544982
버티고개삼거리,127.002137,37.544355
숙대입구,126.970630,37.544934
숙대입구역,126.971999,37.545118
용산고교,126.978476,37.545952
용산2가동주민센터,126.985184,37.546588
만리시장,126.962971,37.551932
한남고가차도남단,127.004568,37.537839
남산도서관,126.982079,37.552135
후암삼거리,126.976534,37.552987
서울역광장,126.972809,37.554165
안중근의사기념관,126.979289,37.552937
도화우성아파트입구,126.947971,37.535678
삼성테마트,126.950613,37.534154
영동대교북단,127.061151,37.537230
뚝섬정수장앞,127.045720,37.537161
성수대교북단램프(강변북로),127.041107,37.538429
성수대교북단,127.034403,37.540750
동부간선강변북로분기점,127.031806,37.542072
동부간선도로강변북로분기점,127.026215,37.543543
동부간선도로-강변북로램프(16),127.032362,37.544933
용비교동측,127.031473,37.544053
성동JC,127.044298,37.552021
군자교분기점,127.068190,37.554649
군자교동단,127.073762,37.559422
광진구-성동구경계(5),127.072824,37.559722
사근램프(내부순환로본선),127.049632,37.561999
성동구-동대문구경계(5),127.071179,37.560344
국민은행성수동지점,127.054315,37.537573
영동대교북단고가차도,127.060690,37.536401
뚝도시장,127.054897,37.538860
경일초교,127.048128,37.540608
뚝도아리정수센터,127.043834,37.540163
성수역,127.057119,37.544266
옥수터널,127.016700,37.544669
서울숲푸르지오아파트,127.024547,37.544688
옥수역,127.019356,37.541452
성수사거리,127.063997,37.542185
미타사입구,127.016377,37.544797
경동초교입구,127.050349,37.546289
뚝섬역,127.044493,37.548124
응봉교,127.036578,37.547092
금호사거리,127.025759,37.548047
치과의사회관앞,127.058310,37.548766
금호역,127.015827,37.548269
금남시장,127.021741,37.548251
화양사거리,127.067472,37.548312
성동세무서,127.060075,37.548372
주택은행금호동지점,127.019529,37.548324
상원삼거리,127.052158,37.550857
응봉삼거리,127.034421,37.554623
금호동벽산아파트삼거리,127.025256,37.552368
행당중학교,127.043736,37.553666
논골사거리,127.024804,37.555685
신금호역,127.020018,37.554677
사근삼거리,127.049434,37.561484
무학여고앞,127.034011,37.558496
한양대병원,127.040793,37.557722
행당동한진아파트,127.025470,37.555656
행현초등학교,127.029648,37.557429
성동문화원앞,127.037099,37.559192
한양대부속고등학교,127.041207,37.560124
왕십리역,127.035421,37.561197
마장역,127.041792,37.565437
상왕십리역,127.030098,37.564129
사근램프앞,127.047319,37.565431
도선사거리,127.036530,37.566042
도시철도공사,127.057956,37.562943
마장동주민센터,127.044103,37.566880
양지사거리,127.030107,37.566773
마장2교,127.045896,37.568084
청계9가,127.030286,37.569583
신답역,127.048699,37.569877
서울시설공단,127.038017,37.572753
청담대교북단,127.063905,37.531977
잠실대교북단,127.081313,37.527431
잠실대교북단교차로,127.085406,37.532484
잠실철교북단,127.094399,37.533114
자양사거리,127.083609,37.536553
올림픽대교북단,127.100430,37.538435
천호대교북단,127.107620,37.544374
구의사거리,127.085293,37.545081
광장사거리,127.104313,37.545093
광진교북단,127.110506,37.548363
광장중교지하차도,127.101993,37.545841
광진교북단교차로,127.105888,37.546766
아차산역(하이마트),127.090891,37.550137
아차산역,127.088442,37.553545
아차산로 서울구리시계,127.113974,37.558814
강변북로구리시계,127.114517,37.558611
군자역,127.079502,37.557159
외환은행군자지점앞,127.076973,37.558138
동곡삼거리,127.076482,37.564227
장평교,127.080077,37.571719
동부간선도로-일반국도6호선램프,127.073241,37.587230
신자초교입구,127.075694,37.533203
뚝섬한강시민공원,127.075974,37.529237
신양초교,127.068498,37.535302
동서울호텔,127.091718,37.534539
강변역,127.094010,37.535720
자양초교,127.077157,37.538122
구남초교,127.093131,37.537179
광진우체국,127.089237,37.537946
광남중고교입구,127.098346,37.539263
건대입구역,127.070633,37.539921
구의현대아파트,127.094255,37.540192
올림픽대교북단교차로,127.095869,37.541152
광장자이아파트,127.094299,37.542670
광장힐스테이트아파트,127.101325,37.542962
광진교남단,127.124353,37.541269
어린이대공원역,127.074192,37.547269
구의시장,127.090687,37.544714
화양삼거리,127.070497,37.548040
군자동주민센터,127.075012,37.554269
중곡사거리,127.087642,37.559427
긴고랑종점,127.094844,37.560123
용마사거리,127.082325,37.562324
군자교서단,127.071230,37.560413
중곡1동사거리,127.079775,37.563178
용곡삼거리,127.086088,37.569032
면곡시장,127.083414,37.571370
중곡3동우편취급국,127.086164,37.570857
용두동사거리,127.030489,37.577765
경동시장,127.038327,37.578178
제기동역,127.034949,37.578172
성바오로병원,127.042549,37.579359
청량리역,127.045159,37.580178
동대문세무서,127.048081,37.582425
떡전교사거리,127.051492,37.585665
시조사삼거리,127.053720,37.588306
삼육서울병원앞,127.063496,37.590475
중랑교,127.067221,37.591584
중랑교서측,127.069652,37.592281
장한평역,127.064582,37.561484
답십리1동,127.055598,37.566088
답심리삼거리,127.054729,37.565359
장평교서측,127.076860,37.571984
장안동사거리,127.071704,37.572344
답십리초교,127.053677,37.567520
쌍마빌딩,127.055598,37.566088
삼희아파트,127.052815,37.568167
답십리근린생활시설,127.051831,37.568896
신답육교,127.049817,37.570916
청계한신휴플러스,127.044256,37.571950
시립동부병원앞,127.030683,37.573933
신답초교,127.042537,37.572709
조흥은행전농동지점,127.045806,37.573874
촬영소사거리,127.066323,37.572770
르네스병원,127.045806,37.573874
동대문구청,127.038074,37.574108
전농1동,127.047566,37.576025
전농동사거리,127.057807,37.577551
답십리사거리,127.057452,37.572909
청량리교회,127.045097,37.575487
전농119안전센터,127.045832,37.576909
장안동삼거리,127.072220,37.578871
동대문중,127.052253,37.573361
배봉초교,127.068404,37.578678
장안지하차도,127.075998,37.580256
안암오거리,127.029552,37.582685
서울시립대앞,127.053590,37.583471
삼일교,127.035969,37.582850
제기사거리,127.038622,37.582958
휘경여중고,127.068090,37.584047
동대문경찰서,127.044274,37.583129
전동중교앞,127.072138,37.584962
